"","TARGET_FLAG","TARGET_AMT","AGE","BLUEBOOK","CAR_AGE","CAR_TYPE","CAR_USE","CLM_FREQ","EDUCATION","HOME_VAL","HOMEKIDS","INCOME","JOB","KIDSDRIV","MSTATUS","MVR_PTS","OLDCLAIM","PARENT1","RED_CAR","REVOKED","SEX","TIF","TRAVTIME","URBANICITY","YOJ"
"16","0",0,39,10590,13,"SUV","Private","0","Bachelors",180951,"3",51884,"Clerical","0","No","0",0,"Yes","no","No","F",6,43,"Rural",12
"17","0",0,42,14190,16,"Minivan","Private","0","Masters",192207,"0",59945,"Lawyer","0","Yes","0",0,"No","no","No","M",6,42,"Urban",11
"18","0",0,34,8300,20,"SUV","Private","0","Masters",91875,"3",34019,"Lawyer","0","Yes","0",0,"No","no","No","F",7,27,"Urban",13
"19","0",0,31,17330,7,"Minivan","Private","0","No High School",93797,"2",18903,"Clerical","0","Yes","0",0,"No","no","No","F",4,48,"Urban",12
"20","1",6857,28,8710,1,"SUV","Commercial","2","High School",170598,"1",44077,"Blue Collar","0","Yes","0",8935,"No","no","No","F",6,29,"Urban",13
"21","1",3627,43,26560,1,"Panel Truck","Commercial","0","No High School",164296.77,"0",37214,"Blue Collar","0","Yes","3",0,"No","yes","No","M",1,52,"Urban",13
"22","0",0,48,11130,14,"SUV","Private","1","Masters",282904,"0",96274,"Lawyer","0","Yes","5",8250,"No","no","No","F",6,36,"Urban",14
"23","0",0,47,19700,5,"Minivan","Private","0","No High School",0,"0",46281,"Blue Collar","0","No","1",0,"No","no","No","F",10,29,"Urban",11
"24","0",0,44,5900,11,"SUV","Private","3","High School",82344,"2",0,"Home Maker","2","Yes","0",3338,"No","no","No","F",6,8,"Urban",0
"25","0",0,33,16830,15,"SUV","Private","0","Bachelors",225962,"1",79606,"Professional","0","Yes","2",0,"No","no","No","F",9,27,"Rural",13
"26","1",4486,32,10030,1,"SUV","Private","0","High School",118160,"1",31275,"Clerical","0","Yes","0",0,"No","no","No","F",1,26,"Urban",9
"27","0",0,44,22090,12,"Minivan","Private","0","Bachelors",219378,"2",45488,"Manager","1","Yes","0",0,"No","no","No","M",17,16,"Urban",17
"28","0",0,35,12220,12,"SUV","Private","0","Bachelors",0,"0",72193,"Clerical","0","No","3",0,"No","no","No","F",6,26,"Urban",8
"29","0",0,40,14130,12,"SUV","Private","2","Masters",98777,"2",1969.09999999996,"Home Maker","0","Yes","4",38127,"No","no","Yes","F",6,15,"Rural",0
"30","0",0,49,15880,1,"Minivan","Private","0","Bachelors",163444,"0",49244,"Clerical","0","Yes","1",0,"No","no","No","M",1,30,"Urban",5
"31","0",0,52,1500,10,"SUV","Private","0","Bachelors",230340,"0",51278,"Professional","0","Yes","1",0,"No","no","No","F",4,37,"Urban",8
"32","0",0,41,25810,15,"Panel Truck","Commercial","2","Masters",286113,"0",92842,"Professional","0","No","5",1431,"No","no","No","M",6,12,"Urban",7
"33","0",0,39,16640,13,"Van","Commercial","0","Bachelors",202839,"0",35081,"Blue Collar","0","Yes","0",0,"No","yes","No","M",4,38,"Urban",10
"34","0",0,56,13220,12,"Minivan","Private","0","PhD",63827,"0",0,"Home Maker","0","Yes","0",0,"No","no","No","F",1,65,"Rural",0
"35","0",0,49,17900,14,"Minivan","Private","0","PhD",311980,"0",115044,"Doctor","0","No","0",0,"No","no","No","F",1,18,"Urban",12
"36","0",0,38,12080,9,"SUV","Private","0","High School",138823,"0",37754,"Clerical","0","Yes","2",0,"No","no","No","F",1,47,"Rural",11
"37","0",0,43,29450,15,"Van","Commercial","0","Masters",418785,"2",145353,"Manager","0","Yes","0",0,"No","no","No","F",6,38,"Urban",17
"38","0",0,63,16270,11,"SUV","Private","0","PhD",343410,"0",121398,"Doctor","0","Yes","0",0,"No","no","No","F",1,10,"Urban",15
"39","0",0,52,9280,6,"SUV","Commercial","0","High School",87925,"0",0,"Student","0","No","1",0,"No","no","No","F",1,48,"Rural",0
"40","0",0,35,6450,7,"Pickup","Commercial","0","Bachelors",0,"0",14508,"Student","0","Yes","0",0,"No","no","No","M",1,22,"Urban",7
"41","0",0,43,23080,8,"Sports Car","Private","0","Bachelors",270555,"0",75338,"Manager","0","Yes","0",0,"No","no","No","F",1,40,"Urban",13
"42","0",0,41,20120,1,"Minivan","Private","0","High School",0,"0",32774,"Clerical","0","No","0",0,"No","no","No","F",4,44,"Rural",10
"43","0",0,40,29270,5,"Panel Truck","Commercial","0","Bachelors",186418,"0",57474,"Clerical","0","Yes","1",0,"No","yes","No","M",4,5,"Urban",11
"44","0",0,31,4600,5,"Minivan","Commercial","0","Bachelors",154493,"1",26520,"Student","0","Yes","2",0,"No","yes","No","M",6,62,"Urban",12
"45","0",0,47,19450,5.59666666666667,"SUV","Commercial","2","High School",0,"0",18444,"Student","0","Yes","5",2981,"No","no","No","F",6,35,"Urban",8
"46","0",0,53,29230,15,"Minivan","Private","0","Masters",343700,"0",107259,"Professional","0","Yes","0",0,"No","yes","No","M",10,36,"Urban",12.3616666666667
"47","0",0,39,4040,5,"SUV","Private","0","High School",183383,"3",34046,"Clerical","0","Yes","0",0,"No","no","No","F",6,33,"Rural",7
"48","0",0,33,12270,1,"Minivan","Private","0","No High School",152894,"3",32364,"Clerical","0","Yes","3",0,"No","yes","No","M",18,40,"Urban",14
"49","0",0,59,31930,15.1728571428571,"Minivan","Private","0","Masters",183017.592238095,"0",106775,"Lawyer","0","No","0",0,"No","yes","No","M",1,10,"Urban",5
"50","1",6100,40,12230,6,"Pickup","Commercial","1","No High School",0,"0",16989,"Blue Collar","0","No","13",26104,"No","yes","Yes","M",4,20,"Urban",11
"51","1",8840.6835683,44,10520,1,"SUV","Private","1","High School",134164,"2",16352,"Home Maker","0","Yes","1",7838,"No","no","No","F",1,37,"Urban",15
"52","0",0,56,21770,6,"Minivan","Private","0","Bachelors",164852,"0",44760,"Manager","0","Yes","0",0,"No","yes","No","M",13,30,"Urban",16
"53","1",2117,45,32340,13,"Van","Private","2","Masters",196368,"1",63952,"Lawyer","1","Yes","0",27877,"No","no","Yes","F",6,50,"Urban",14
"54","0",0,48,28560,10,"Panel Truck","Commercial","5","Bachelors",252896,"0",77969.8986666667,"Professional","0","Yes","1",1554,"No","yes","No","M",13,14,"Urban",10.93
"55","1",3532,44,14220,10,"Minivan","Private","0","Bachelors",0,"2",24060,"Clerical","1","No","0",0,"Yes","no","No","M",4,24,"Urban",11.1166666666667
"56","1",866,33,6880,1,"SUV","Private","3","High School",76022,"4",20822,"Home Maker","0","Yes","0",7896,"No","no","No","F",13,46,"Urban",12
"57","0",0,32,10040,8,"SUV","Private","0","High School",146784,"3",54968,"Professional","0","Yes","0",0,"No","no","Yes","F",4,20,"Urban",14
"58","1",7786,34,2920,10,"Sports Car","Private","3","No High School",87034,"0",14194,"Clerical","0","No","2",24767,"No","no","Yes","F",4,13,"Urban",8
"59","0",0,38,22690,1,"Pickup","Private","0","No High School",72889,"4",2149,"Home Maker","1","Yes","2",0,"No","no","No","F",10,35,"Urban",12
"60","1",4148,43,19510,15,"Sports Car","Private","3","Masters",0,"3",137103,"Manager","2","No","0",8890,"Yes","no","No","F",1,29,"Urban",11
"61","0",0,49,33710,18,"Panel Truck","Commercial","2","PhD",0,"0",182163.727916667,"Manager","0","No","2",34351,"No","no","Yes","M",3,31,"Urban",9
"62","0",0,46,14050,11,"Minivan","Private","0","Bachelors",0,"0",79538,"Manager","0","No","2",0,"No","no","Yes","F",3,13,"Urban",10
"63","0",0,45,10250,20,"SUV","Private","3","PhD",509115,"1",185836,"Lawyer","0","Yes","6",4307,"No","no","No","F",1,28,"Urban",11
"64","0",0,46,33320,12,"Panel Truck","Commercial","0","Masters",397661,"0",151939.549666667,"Manager","0","No","1",0,"No","yes","Yes","M",4,22,"Urban",14
"65","0",0,45,10910,14,"Pickup","Commercial","2","Masters",213530,"0",61931,"Manager","0","Yes","0",25106,"No","yes","No","M",13,30,"Urban",11
"66","0",0,63,27600,18,"SUV","Private","0","PhD",0,"0",74426,"Doctor","0","No","0",0,"No","no","No","F",1,11,"Urban",9
"67","0",0,44,23640,1,"Minivan","Private","0","Bachelors",231034,"0",74722,"Professional","0","Yes","0",0,"No","no","No","F",6,9,"Urban",9
"68","1",2371,45,1500,11,"Minivan","Private","0","Bachelors",0,"2",102393,"Professional","1","No","2",0,"Yes","yes","No","M",1,25,"Urban",11
"69","0",0,48,8660,4.98333333333333,"Sports Car","Private","2","High School",98920,"0",0,"Home Maker","0","Yes","3",8363,"No","no","No","F",3,50,"Urban",0
"70","1",4804,37,5200,3,"SUV","Commercial","1","Bachelors",205211,"2",60139.69,"Blue Collar","1","Yes","1",2718,"No","no","No","F",1,43,"Urban",12
"71","0",0,35,4860,1,"Sports Car","Private","0","No High School",0,"0",29371,"Clerical","0","No","0",0,"No","no","No","F",10,49,"Urban",10.3833333333333
"72","1",1354,48,9640,1,"Pickup","Commercial","1","High School",165090,"0",31773,"Clerical","0","Yes","4",1212,"No","no","No","M",13,14,"Urban",12
"73","0",0,49,6400,14,"SUV","Private","1","Masters",159389,"0",0,"Professional","0","Yes","6",9115,"No","no","No","F",10,42,"Urban",0
"74","0",0,44,22050,1,"Sports Car","Commercial","0","High School",316900,"2",139330,"Blue Collar","0","No","0",0,"Yes","no","No","F",10,35,"Rural",15
"75","0",0,50,22830,14,"Minivan","Private","0","PhD",447616,"0",163296,"Lawyer","0","No","0",0,"No","no","No","F",1,42,"Rural",13
"76","0",0,30,12380,6,"Minivan","Private","0","No High School",140978,"1",17455,"Blue Collar","0","No","0",0,"Yes","no","No","F",13,50,"Rural",10
"77","0",0,54,14000,11,"Minivan","Private","0","Bachelors",240833,"0",71007,"Manager","0","Yes","0",0,"No","no","No","M",6,61,"Urban",12.315
"78","1",2425,53,13140,1,"SUV","Commercial","0","High School",153381,"0",38036,"Blue Collar","0","Yes","4",0,"No","no","No","F",1,32,"Urban",6
"79","0",0,53,15360,8,"SUV","Private","0","Bachelors",150933,"0",41199,"Manager","0","No","0",0,"No","no","No","F",1,21,"Urban",13
"80","0",0,29,15160,1,"Minivan","Private","0","High School",202967,"1",38042,"Professional","0","No","0",0,"Yes","no","No","M",6,15,"Urban",10
"81","0",0,58,10620,14.5661111111111,"Pickup","Private","0","Masters",0,"0",91223,"Lawyer","0","No","0",0,"No","no","No","M",6,23,"Urban",11
"82","0",0,55,19380,13,"Minivan","Private","0","Masters",173196,"0",45787,"Lawyer","0","Yes","0",0,"No","no","No","F",6,5,"Urban",7
"83","0",0,55,5760,11,"Pickup","Commercial","2","Bachelors",227091,"0",84964,"Blue Collar","0","Yes","6",969,"No","yes","No","M",1,21,"Urban",11.07
"84","0",0,56,16220,6.28423444976077,"SUV","Private","0","High School",190675,"0",38240,"Clerical","0","Yes","0",0,"No","no","No","F",4,28,"Rural",8
"85","0",0,34,18110,15,"Van","Private","2","Masters",0,"0",51565,"Lawyer","0","No","3",759,"No","yes","No","M",1,36,"Urban",11
"86","1",5711,34,11740,1,"SUV","Private","2","High School",66358,"3",0,"Home Maker","0","Yes","2",1800,"No","no","No","F",9,25,"Urban",0
"87","0",0,36,13800,17,"Minivan","Private","3","Masters",267509,"0",105384,"Professional","0","Yes","4",31695,"No","yes","Yes","M",7,24,"Urban",11
"88","1",13105.327626,41,12230,9,"Minivan","Private","0","Masters",159276,"0",66265,"Lawyer","0","Yes","1",0,"No","yes","No","M",4,59,"Urban",10
"89","1",4061,46,23350,17,"Panel Truck","Commercial","3","Masters",95729.14,"0",72786.8866666667,"Professional","0","No","6",4678,"No","yes","No","M",13,17,"Urban",7
"90","0",0,42,23390,14,"Panel Truck","Commercial","0","Bachelors",217920,"0",76226,"Blue Collar","0","Yes","0",0,"No","yes","No","M",13,18,"Urban",9
"91","0",0,38,8080,8,"Pickup","Private","0","No High School",113809,"3",7528,"Clerical","1","Yes","0",0,"No","yes","No","M",1,26,"Rural",16
"92","1",7838,33,15090,5,"Minivan","Commercial","1","High School",0,"4",0,"Student","0","No","2",1631,"Yes","yes","No","M",1,14,"Urban",0
"93","1",3660,37,12850,6,"SUV","Commercial","0","Bachelors",73890,"0",2999.89999999995,"Student","0","Yes","3",0,"No","no","No","F",7,48,"Urban",0
"94","0",0,42,21690,14,"Minivan","Private","0","Masters",160661,"1",32797,"Lawyer","1","Yes","2",0,"No","no","No","F",1,63,"Urban",9
"95","1",5125,47,12840,10,"SUV","Private","2","Bachelors",217885,"0",44705,"Professional","0","Yes","0",1533,"No","no","No","F",1,50,"Urban",11
"96","0",0,52,15120,10,"Minivan","Commercial","0","Bachelors",216986,"0",68992,"Blue Collar","0","No","3",0,"No","no","No","F",1,36,"Rural",9
"97","0",0,43,30150,1,"Panel Truck","Commercial","1","Masters",314433,"0",132561,"Professional","0","No","0",12294,"No","no","No","M",16,8,"Urban",11
"98","0",0,66,11180,16,"SUV","Private","0","Masters",325826,"1",96830,"Professional","0","Yes","0",0,"No","no","No","M",7,23,"Urban",17
"99","1",2143,52,7900,5,"Pickup","Commercial","3","No High School",244863,"0",64014,"Blue Collar","0","Yes","1",8882,"No","yes","No","M",4,33,"Urban",7
"100","0",0,38,7050,10,"Sports Car","Private","0","High School",0,"1",9784.7475,"Student","1","Yes","0",0,"No","no","No","F",4,40,"Rural",7
"101","0",0,47,21320,13,"Van","Private","0","Bachelors",276241,"0",90497.75625,"Manager","0","Yes","0",0,"No","yes","No","M",1,48,"Urban",14
"102","0",0,37,17550,8.92583333333333,"Van","Commercial","0","Bachelors",383731,"0",123520,"Blue Collar","0","Yes","0",0,"No","no","No","M",1,14,"Urban",12
"103","0",0,47,29210,8.49066666666667,"Panel Truck","Commercial","0","Bachelors",160051,"0",45257,"Clerical","0","Yes","0",0,"No","yes","No","M",6,33,"Urban",13
"104","0",0,61,20870,21,"Sports Car","Private","0","Masters",169015,"2",41857,"Manager","1","Yes","0",0,"No","no","No","F",1,35,"Urban",17
"105","1",2114,41,32690,18,"Pickup","Commercial","0","Masters",0,"1",126468,"Manager","0","No","2",0,"Yes","no","No","F",3,34,"Urban",8
"106","0",0,40,13050,6,"Sports Car","Commercial","0","High School",247673,"3",75516,"Blue Collar","3","Yes","0",0,"No","no","Yes","F",5,53,"Rural",9
"107","0",0,52,19540,11,"Minivan","Private","0","Bachelors",249290,"0",76954,"Professional","0","No","0",0,"No","yes","Yes","M",6,44,"Urban",16
"108","0",0,58,24240,17,"Pickup","Private","0","Masters",421665,"1",150352,"Manager","0","Yes","0",0,"No","no","No","F",6,21,"Urban",8
"109","1",8671,38,5260,1,"SUV","Private","2","No High School",173495,"1",37580,"Clerical","1","Yes","0",867,"No","no","No","F",7,36,"Urban",12
"110","1",6287,41,7930,1,"Pickup","Private","0","High School",147172,"2",23344,"Blue Collar","0","Yes","1",0,"No","no","No","M",1,10,"Urban",15
"111","0",0,37,23640,10,"SUV","Private","0","Bachelors",158771,"0",43290,"Blue Collar","0","Yes","0",0,"No","no","No","F",1,29,"Urban",16
"112","0",0,48,11220,1,"Pickup","Private","0","Bachelors",220264,"0",48737,"Manager","0","Yes","1",0,"No","yes","No","M",9,24,"Urban",10
"113","0",0,47,25100,9,"Minivan","Private","4","High School",202031,"0",64259,"Clerical","0","Yes","3",9526,"No","no","No","M",18,26,"Urban",12
"114","0",0,41,7500,1,"Minivan","Private","0","No High School",0,"0",12541,"Clerical","0","No","0",0,"No","yes","No","M",1,5,"Rural",6
"115","0",0,47,36120,11,"Panel Truck","Commercial","0","Masters",265153,"0",104271,"Manager","0","Yes","0",0,"No","yes","No","M",4,40,"Urban",12
"116","0",0,44,20210,16,"Minivan","Private","0","Masters",220556,"1",67278,"Lawyer","0","Yes","0",0,"No","no","No","F",1,49,"Rural",11.67325
"117","0",0,46,16080,7,"SUV","Private","0","Bachelors",306540,"0",104990,"Professional","0","No","0",0,"No","no","No","F",13,40,"Urban",10
"118","0",0,49,18160,9,"SUV","Private","0","Bachelors",0,"0",89948,"Professional","0","No","4",0,"No","no","No","F",7,37,"Urban",6
"119","0",0,33,28180,4,"Van","Commercial","0","Masters",321483,"1",111427,"Manager","0","Yes","3",0,"No","no","No","F",1,35,"Urban",12
"120","1",1807,43,19750,7.78066666666667,"SUV","Private","0","Bachelors",0,"2",76159,"Professional","1","No","0",0,"Yes","no","Yes","F",4,52,"Urban",11
"121","0",0,62,18470,15,"SUV","Private","0","PhD",0,"0",107734,"Lawyer","0","No","0",0,"No","no","No","F",3,54,"Urban",6
"122","1",10593.946633,42,5700,1,"Pickup","Commercial","0","No High School",29407.6713535354,"0",0,"Student","0","No","5",0,"No","yes","No","M",11,47,"Urban",0
"123","0",0,36,11160,1,"SUV","Private","0","High School",0,"2",25282,"Clerical","0","No","0",0,"Yes","no","No","F",1,38,"Rural",12
"124","0",0,47,12800,14,"Minivan","Private","0","Masters",116136,"0",18549,"Lawyer","0","Yes","0",0,"No","no","No","M",7,24,"Urban",11
"125","0",0,50,17300,7,"Van","Commercial","0","High School",147191,"0",33318.6133333333,"Clerical","0","Yes","0",0,"No","yes","No","M",13,11,"Urban",14
"126","0",0,51,11620,1,"Pickup","Commercial","3","High School",187297,"0",50166,"Blue Collar","0","No","0",50701,"No","no","Yes","M",1,32,"Urban",9
"127","0",0,46,20240,16,"Sports Car","Private","0","Masters",245878,"0",73872,"Lawyer","0","Yes","0",0,"No","no","No","F",4,43,"Rural",8
"128","0",0,50,20010,8,"Minivan","Private","2","High School",254600,"0",73343,"Manager","0","Yes","4",4179,"No","no","No","F",1,60,"Urban",14
"129","1",6158,43,13130,20,"SUV","Private","3","Masters",0,"2",49849,"Lawyer","0","No","4",3622,"Yes","no","No","F",1,35,"Urban",15
"130","1",4887,39,15760,1,"Pickup","Commercial","2","No High School",0,"1",12054,"Student","1","Yes","4",1738,"No","no","Yes","F",4,28,"Urban",16
"131","0",0,43,14530,1,"Sports Car","Commercial","2","High School",209188,"3",48184,"Blue Collar","0","Yes","5",6891,"No","no","No","F",12,50,"Urban",14
"132","1",5147,60,20350,15,"SUV","Private","0","Masters",235670,"3",78936,"Lawyer","0","Yes","0",0,"No","no","No","F",6,40,"Urban",18
"133","0",0,55,7000,1,"Pickup","Private","0","No High School",0,"0",0,"Student","0","No","0",0,"No","no","No","M",4,33,"Rural",0
"134","0",0,40,5500,10,"SUV","Private","2","Bachelors",229055,"0",78914,"Manager","0","No","6",6803,"No","no","No","F",10,36,"Urban",10
"135","0",0,39,9570,13,"Sports Car","Private","0","Bachelors",210840,"0",77125,"Clerical","0","Yes","1",0,"No","no","No","F",7,49,"Urban",6
"136","0",0,38,8490,12,"Pickup","Private","0","High School",109685,"0",25835,"Clerical","0","Yes","1",0,"No","yes","No","M",6,29,"Urban",14
"137","0",0,42,11940,18,"Pickup","Private","2","Masters",180206,"0",47660,"Professional","0","Yes","6",974,"No","yes","No","M",7,31,"Urban",12
"138","0",0,42,24930,14,"Minivan","Private","0","Masters",306368,"0",123143,"Manager","0","No","3",0,"No","no","No","F",4,16,"Urban",10
"139","0",0,49,21990,1,"Pickup","Commercial","0","No High School",123924,"0",22059,"Clerical","0","Yes","1",0,"No","no","No","F",11,24,"Urban",8
"140","0",0,36,10170,14,"SUV","Private","3","Masters",0,"1",50750,"Manager","1","No","7",5877,"Yes","no","No","F",7,26,"Urban",12
"141","0",0,34,12180,7,"Pickup","Commercial","0","High School",0,"1",23571,"Clerical","0","No","0",0,"Yes","yes","No","M",7,35,"Urban",10
"142","0",0,49,18110,1,"SUV","Private","0","PhD",79913,"0",0,"Home Maker","0","Yes","1",0,"No","no","No","F",7,29,"Urban",0
"143","0",0,52,6040,1,"Minivan","Private","0","High School",155972,"0",35631,"Clerical","0","Yes","0",0,"No","yes","No","M",10,39,"Urban",12
"144","0",0,50,21200,14.9107154316272,"Van","Private","0","PhD",0,"0",129234,"Doctor","0","No","0",0,"No","yes","No","M",4,37,"Urban",11
"145","0",0,53,11650,7,"SUV","Private","1","No High School",0,"0",32162.18,"Clerical","0","No","2",6175,"No","no","No","F",10,16,"Urban",12
"146","0",0,55,27890,14,"Panel Truck","Commercial","0","Bachelors",162237,"0",55409,"Blue Collar","0","Yes","0",0,"No","no","No","M",4,45,"Rural",14
"147","0",0,40,18120,8,"Minivan","Private","0","Bachelors",186025,"4",48067,"Clerical","0","No","0",0,"Yes","no","No","F",8,21,"Urban",15
"148","0",0,45,12490,10,"SUV","Private","0","Masters",210631,"2",64867,"Lawyer","0","Yes","0",0,"No","no","No","F",1,21,"Urban",12
"149","0",0,80,15920,10,"Minivan","Private","0","Bachelors",389344,"2",97716,"Professional","0","Yes","2",0,"No","yes","No","M",13,14,"Urban",23
"150","0",0,48,8460,1,"Pickup","Commercial","2","High School",159534,"0",39613,"Blue Collar","0","Yes","6",7437,"No","yes","No","M",10,48,"Urban",10
"151","0",0,37,14130,5.02166666666667,"Minivan","Private","0","High School",21845.06,"0",15088.7325,"Student","0","No","1",0,"No","yes","No","M",1,69,"Rural",11
"152","0",0,40,10500,1,"Sports Car","Private","0","No High School",0,"0",49780,"Clerical","0","No","0",0,"No","no","No","F",6,52,"Rural",11
"153","0",0,45,24260,18,"Minivan","Private","0","Bachelors",0,"0",60845,"Manager","0","No","0",0,"No","no","No","F",4,31,"Urban",11
"154","1",6087,42,13160,17,"Sports Car","Private","0","PhD",0,"0",136344,"Doctor","0","No","0",0,"No","no","No","F",1,45,"Urban",12
"155","0",0,36,14960,4,"Minivan","Private","3","Bachelors",211506,"0",70313,"Professional","0","Yes","5",7650,"No","no","No","F",6,55,"Urban",7
"156","0",0,45,34510,1,"Van","Commercial","0","High School",0,"3",23773,"Home Maker","0","No","0",0,"Yes","no","No","F",7,9,"Rural",15
"157","0",0,52,21660,11,"Sports Car","Private","0","Bachelors",327167,"0",115713,"Professional","0","No","0",0,"No","no","No","F",6,28,"Rural",11
"158","0",0,41,31390,1,"Panel Truck","Commercial","0","High School",0,"0",55364,"Clerical","0","No","3",0,"No","yes","No","M",1,17,"Rural",8
"159","0",0,36,11300,7,"Sports Car","Private","1","No High School",130324,"0",27693,"Clerical","0","Yes","4",19385,"No","no","No","F",10,37,"Urban",14
"160","0",0,56,27890,9,"SUV","Private","2","Bachelors",103058,"0",0,"Home Maker","0","Yes","0",25147,"No","no","No","F",13,29,"Urban",0
"161","0",0,53,1500,7,"Sports Car","Private","3","No High School",0,"1",0,"Student","1","Yes","2",1175,"No","no","No","F",10,34,"Rural",0
"162","1",3894,39,1500,7,"SUV","Private","0","High School",169721,"0",32936,"Clerical","0","No","0",0,"No","no","No","F",6,12,"Urban",12
"163","0",0,38,11530,9,"SUV","Private","0","Bachelors",184852,"0",33151,"Professional","0","Yes","0",0,"No","no","No","F",13,31,"Rural",11
"164","1",2659,45,16510,1,"Minivan","Private","3","High School",0,"3",0,"Home Maker","1","No","0",17445,"Yes","no","Yes","M",4,36,"Urban",0
"165","0",0,46,8560,9,"Sports Car","Private","0","High School",176282,"0",24575,"Home Maker","0","Yes","0",0,"No","no","No","F",10,73,"Rural",14
"166","0",0,43,5800,5,"Minivan","Private","0","No High School",200891,"2",32546,"Clerical","0","Yes","1",0,"No","yes","No","M",10,49,"Urban",16
"167","0",0,54,18820,9,"SUV","Private","1","Bachelors",0,"1",0,"Home Maker","1","No","6",5537,"Yes","no","No","F",6,21,"Urban",0
"168","0",0,55,23320,19,"Panel Truck","Commercial","0","Masters",431809,"0",163158,"Manager","0","Yes","3",0,"No","no","No","M",10,44,"Urban",16
"169","0",0,61,13420,1,"Sports Car","Private","3","No High School",226638,"0",58212,"Blue Collar","0","Yes","3",3573,"No","no","No","F",1,37,"Rural",10
"170","1",6693,53,9930,5,"SUV","Private","0","Bachelors",264549,"0",84345,"Manager","0","Yes","3",0,"No","no","No","F",4,36,"Urban",15
"171","0",0,52,10350,4.91,"Minivan","Commercial","1","High School",166773,"0",24590,"Blue Collar","0","Yes","0",1507,"No","yes","No","M",14,59,"Urban",12
"172","0",0,54,27020,6,"Pickup","Commercial","3","Bachelors",278940,"0",107808,"Manager","0","Yes","0",1780,"No","no","No","F",7,45,"Urban",15
"173","0",0,51,25450,13.5904761904762,"SUV","Private","2","Masters",257889,"0",76443,"Lawyer","0","Yes","5",5958,"No","no","No","F",6,7,"Urban",15
"174","0",0,39,7470,1,"Pickup","Commercial","0","High School",197089,"2",59685,"Blue Collar","0","Yes","0",0,"No","no","No","M",7,42,"Rural",12
"175","0",0,38,13740,15,"Minivan","Private","1","Masters",251629,"0",90647,"Lawyer","0","Yes","0",8450,"No","no","No","F",4,38,"Rural",12
"176","1",4380,42,10020,1,"Pickup","Commercial","0","No High School",208811,"0",43174,"Blue Collar","0","No","0",0,"No","yes","No","M",13,48,"Urban",10
"177","1",1826,31,12930,7,"Sports Car","Private","2","High School",0,"2",30653,"Clerical","0","No","0",35666,"Yes","no","Yes","F",13,41,"Urban",14
"178","0",0,41,32090,17,"Minivan","Private","0","Masters",54130,"2",0,"Home Maker","0","No","0",0,"Yes","no","No","F",6,18,"Rural",0
"179","1",6716,36,1500,10,"SUV","Private","0","High School",0,"4",383.999999999941,"Student","3","Yes","5",0,"No","no","No","F",4,54,"Urban",0
