"","AGE","BLUEBOOK","NEW_CAR","CAR_TYPE","CAR_USE","CLM_FREQ","EDUCATION","HOME_VAL","HOMEKIDS","INCOME","JOB","KIDSDRIV","MSTATUS","MVR_PTS","OLDCLAIM","PARENT1","RED_CAR","REVOKED","SEX","TIF","TRAVTIME","URBANICITY","YOJ"
"72",39,12740,0,"Minivan","Private","1","Bachelors",0,"0",73367,"Professional","0","No","4",3320,"No","yes","No","M",6,36,"Urban",14
"73",32,6780,0,"SUV","Private","3","No High School",0,"4",4478,"Student","0","No","5",7181,"Yes","no","No","F",4,7,"Urban",15
"74",44,6500,0,"Pickup","Commercial","0","Bachelors",0,"1",5952,"Student","0","Yes","0",0,"No","yes","No","M",4,22,"Urban",9
"75",44,9000,0,"Pickup","Commercial","3","High School",244819,"1",75046,"Blue Collar","0","Yes","6",3288,"No","yes","No","M",4,56,"Urban",11
"76",38,16260,0,"SUV","Private","3","Bachelors",0,"0",75432,"Manager","0","No","0",8035,"No","no","No","F",1,51,"Urban",10
"77",35,11490,0,"SUV","Private","0","No High School",187354,"3",64872,"Clerical","0","Yes","3",0,"No","no","No","F",1,44,"Urban",13
"78",55,13700,0,"Minivan","Private","3","Masters",0,"0",66964,"Lawyer","0","No","3",6183,"No","yes","No","M",6,47,"Urban",14
"79",42,12880,1,"Minivan","Private","1","High School",186734,"2",34210,"Clerical","0","Yes","0",1830,"No","yes","No","M",6,34,"Urban",11
"80",43,8140,1,"SUV","Private","0","No High School",157794,"2",24124,"Blue Collar","1","Yes","0",0,"No","no","No","F",7,40,"Rural",11
"81",44,7410,0,"SUV","Commercial","2","High School",125283,"0",39852,"Blue Collar","0","Yes","0",3704,"No","no","No","F",1,37,"Urban",12
"82",51,15820,1,"SUV","Private","2","Masters",0,"0",65702,"Lawyer","0","No","3",7181,"No","no","No","F",1,27,"Urban",13
"83",34,21940,0,"Pickup","Commercial","2","Bachelors",183087,"1",68833,"Clerical","0","Yes","3",1494,"No","no","No","F",4,35,"Urban",12
"84",40,16920,1,"Van","Private","0","No High School",180764,"2",54159,"Blue Collar","1","Yes","1",0,"No","yes","No","M",10,65,"Rural",6
"85",37,22260,0,"Pickup","Commercial","0","High School",0,"3",6217,"Student","0","Yes","0",0,"No","no","Yes","F",10,27,"Urban",17
"86",58,16870,0,"Van","Commercial","1","No High School",192089,"0",39707,"Blue Collar","0","Yes","6",3546,"No","yes","No","M",1,29,"Urban",14
"87",50,17790,0,"Van","Private","0","No High School",128210,"0",24358,"Blue Collar","0","Yes","0",0,"No","no","Yes","M",3,11,"Urban",10
"88",46,24410,0,"Pickup","Commercial","1","Masters",0,"0",106409,"Professional","0","No","0",6948,"No","no","No","F",6,42,"Urban",7
"89",53,18070,0,"Minivan","Private","0","PhD",178230,"0",59797,"Doctor","0","Yes","0",0,"No","no","No","F",4,35,"Urban",14
"90",63,11770,1,"Sports Car","Commercial","2","High School",0,"2",52064,"Blue Collar","0","Yes","8",834,"No","no","No","F",1,16,"Urban",10
"91",53,21440,0,"Van","Private","2","PhD",316239,"0",77012,"Doctor","0","Yes","0",8744,"No","no","No","M",1,22,"Urban",7
"92",36,15840,1,"Sports Car","Private","2","High School",0,"0",17085,"Student","0","Yes","2",4070,"No","no","No","F",7,58,"Rural",11
"93",43,29690,0,"Panel Truck","Commercial","0","Masters",0,"0",238856,"Manager","0","Yes","0",0,"No","yes","No","M",11,19,"Urban",13
"94",54,22340,0,"SUV","Private","1","Bachelors",271183,"0",69625,"Manager","0","Yes","2",3155,"No","no","No","F",1,51,"Urban",12
"95",39,19330,0,"Van","Commercial","0","High School",189139,"3",42535,"Clerical","0","Yes","1",0,"No","yes","No","M",4,22,"Rural",16
"96",43,34680,0,"Panel Truck","Commercial","0","Bachelors",233744,"2",81674,"Manager","1","Yes","1",0,"No","no","No","M",1,39,"Urban",14
"97",51,15660,0,"Minivan","Private","0","Bachelors",159187,"0",34658,"Professional","0","Yes","0",0,"No","no","No","M",1,31,"Rural",13
"98",42,25540,1,"Sports Car","Private","0","High School",0,"0",0,"Home Maker","0","No","0",0,"No","no","No","F",1,5,"Urban",0
"99",41,19530,0,"Van","Commercial","3","Masters",237057,"0",86227,"Manager","0","No","2",2948,"No","no","No","M",9,28,"Urban",6
"100",35,11510,1,"Pickup","Commercial","3","High School",242001,"1",77126,"Manager","0","Yes","0",3079,"No","yes","No","M",10,5,"Urban",12
"101",35,4810,0,"SUV","Private","0","No High School",0,"2",0,"Student","0","Yes","0",0,"No","no","No","F",1,32,"Urban",0
"102",41,16860,1,"Van","Private","0","High School",0,"3",30043,"Clerical","1","No","0",0,"Yes","yes","No","M",4,22,"Urban",5
"103",43,11290,1,"Pickup","Commercial","3","High School",225678,"0",54932,"Clerical","0","Yes","5",5076,"No","yes","No","M",4,37,"Urban",14
"104",42,17470,0,"Van","Commercial","3","No High School",309644,"0",94591,"Blue Collar","0","No","3",16121,"No","yes","Yes","M",6,21,"Urban",8
"105",56,28740,0,"Minivan","Private","0","Bachelors",315504,"2",0,"Professional","1","Yes","1",0,"No","no","No","F",1,32,"Urban",17
"106",40,23140,0,"Minivan","Private","0","Bachelors",0,"1",79715,"Clerical","0","No","0",0,"Yes","no","No","F",10,6,"Urban",13
"107",51,11880,0,"Pickup","Private","0","Bachelors",186223,"0",40760,"Professional","0","No","0",0,"No","no","No","M",1,24,"Urban",12
"108",38,8140,0,"Pickup","Commercial","0","High School",0,"0",28409,"Clerical","0","No","1",0,"No","yes","No","M",10,27,"Rural",10
"109",27,14660,0,"SUV","Private","1","Bachelors",0,"3",69794,"Professional","0","No","3",2848,"Yes","no","No","F",4,24,"Urban",9
"110",42,20170,0,"Minivan","Commercial","2","High School",274402,"2",85408,"Blue Collar","1","Yes","0",697,"No","no","No","F",10,32,"Urban",15
"111",55,16600,1,"SUV","Private","2","No High School",0,"0",3865,"Home Maker","0","No","0",6089,"No","no","Yes","F",1,27,"Urban",11
"112",43,1500,0,"Minivan","Private","0","Bachelors",0,"0",58112,"Clerical","0","No","2",0,"No","yes","No","M",4,34,"Rural",7
"113",54,8030,1,"SUV","Private","3","High School",213225,"0",65298,"Clerical","0","Yes","5",4528,"No","no","No","F",17,5,"Urban",12
"114",37,10630,0,"SUV","Private","1","High School",212419,"2",54349,"Manager","1","Yes","4",1381,"No","no","No","F",13,28,"Urban",9
"115",44,10770,0,"SUV","Commercial","0","High School",0,"0",0,"Blue Collar","0","No","2",0,"No","no","No","F",1,32,"Urban",12
"116",44,10280,1,"Sports Car","Private","0","High School",147038,"2",20324,"Clerical","0","Yes","0",0,"No","no","No","F",1,20,"Rural",7
"117",37,15050,0,"Minivan","Private","3","Bachelors",382687,"3",159092,"Blue Collar","2","Yes","0",1927,"No","yes","No","M",6,29,"Rural",11
"118",31,7740,1,"Sports Car","Private","1","No High School",0,"2",0,"Student","0","Yes","7",7323,"No","no","No","F",4,48,"Urban",0
"119",36,5100,0,"Minivan","Private","3","High School",110346,"2",0,"Home Maker","2","Yes","1",39425,"No","no","Yes","F",4,28,"Urban",0
"120",54,14630,0,"SUV","Private","2","Bachelors",0,"0",77267,"Manager","0","No","0",8395,"No","no","No","F",1,14,"Urban",12
"121",39,5500,0,"Sports Car","Commercial","0","High School",0,"0",0,"Student","0","No","0",0,"No","no","No","F",1,53,"Rural",0
"122",57,9240,1,"Pickup","Private","2","High School",0,"2",0,"Student","1","Yes","5",8336,"No","yes","Yes","M",1,29,"Urban",0
"123",34,11520,0,"SUV","Private","0","High School",0,"2",0,"Student","0","No","0",0,"Yes","no","Yes","F",9,22,"Urban",0
"124",48,7030,1,"SUV","Private","1","No High School",0,"0",7302,"Student","0","No","3",3564,"No","no","No","F",10,27,"Urban",10
"125",52,18200,0,"Van","Private","4","Bachelors",279497,"0",88691,"Blue Collar","0","Yes","2",1261,"No","yes","No","M",4,40,"Urban",15
"126",58,7200,0,"Minivan","Private","2","No High School",0,"2",3272,"Student","1","Yes","2",5086,"No","yes","No","M",1,42,"Urban",17
"127",45,7080,1,"Pickup","Commercial","0","High School",212677,"0",65466,"Blue Collar","0","Yes","2",0,"No","no","No","M",3,24,"Urban",14
"128",72,9100,0,"Sports Car","Private","3","Masters",256797,"0",63890,"Lawyer","0","Yes","0",4448,"No","no","No","F",7,41,"Urban",16
"129",48,13970,0,"SUV","Private","2","High School",175858,"0",43075,"Manager","0","Yes","3",5878,"No","no","No","F",4,52,"Urban",8
"130",49,12350,0,"Minivan","Commercial","0","Bachelors",276028,"0",90658,"Blue Collar","0","No","0",0,"No","no","No","F",13,7,"Urban",9
"131",57,9270,0.05,"SUV","Private","0","PhD",465304,"0",200772,"Doctor","0","No","0",0,"No","no","No","F",1,27,"Urban",14
"132",22,29390,0,"Pickup","Private","2","Masters",193948,"0",36821,"Lawyer","0","No","0",8502,"No","no","No","F",6,23,"Urban",9.549
"133",53,5430,0.11,"Pickup","Commercial","1","Masters",333039,"0",108744,"Manager","0","Yes","0",3267,"No","yes","No","M",1,5,"Urban",13
"134",50,8920,1,"Pickup","Commercial","0","High School",174778,"0",30795,"Clerical","0","Yes","0",0,"No","yes","No","M",6,53,"Rural",14
"135",59,33330,0,"Panel Truck","Commercial","3","Bachelors",422815,"0",155410,"Manager","0","Yes","4",4765,"No","yes","No","M",7,40,"Urban",12
"136",33,22520,1,"Minivan","Private","1","No High School",147326,"3",0,"Blue Collar","0","Yes","6",3075,"No","no","No","F",5,38,"Urban",7
"137",48,10450,0,"Pickup","Commercial","1","High School",0,"0",26875,"Clerical","0","No","8",3830,"No","no","No","M",1,18,"Urban",11
"138",42,25910,0,"Panel Truck","Commercial","2","Bachelors",306012,"3",99269,"Professional","1","No","1",45894,"Yes","yes","Yes","M",7,34,"Urban",11
"139",50,16730,0,"Van","Commercial","0","High School",0,"0",102262,"Blue Collar","0","No","0",0,"No","yes","No","M",14,39,"Rural",11
"140",53,2880,0.45,"Sports Car","Private","0","No High School",0,"0",13753,"Home Maker","0","No","1",0,"No","no","No","F",4,49,"Rural",2
"141",49,6400,0,"Pickup","Private","0","Bachelors",170643,"0",60368,"Manager","0","Yes","0",0,"No","no","No","M",4,16,"Urban",9
"142",21,8150,1,"Sports Car","Private","2","High School",0,"1",18483,"Clerical","0","No","3",7781,"Yes","no","No","F",1,20,"Urban",8
"143",50,12360,0,"Minivan","Private","0","Masters",0,"0",58628,"Lawyer","0","No","0",0,"No","yes","No","M",1,14,"Urban",9
"144",53,6800,0,"Pickup","Private","0","Masters",105085,"0",0,"Home Maker","0","Yes","0",0,"No","yes","No","M",11,31,"Urban",0
"145",49,14530,0,"Minivan","Private","0","Bachelors",241420,"0",81280,"Professional","0","Yes","0",0,"No","no","No","M",1,24,"Urban",2
"146",38,1500,0,"Sports Car","Private","1","PhD",125157,"2",38317,"Doctor","1","Yes","8",2896,"No","no","No","F",1,44,"Urban",13
"147",53,18780,0,"Pickup","Private","0","Masters",0,"0",70026,"Lawyer","0","No","0",0,"No","no","No","F",10,39,"Urban",11
"148",49,12910,0,"Minivan","Private","0","Masters",0,"0",0,"Lawyer","0","No","0",0,"No","no","No","M",4,26,"Urban",8
"149",48,30240,0,"Panel Truck","Commercial","2","PhD",0,"0",134140,"Manager","0","No","6",7478,"No","no","No","M",1,34,"Urban",8
"150",53,14610,0,"Minivan","Private","0","PhD",499433,"0",0,"Doctor","0","Yes","0",0,"No","no","No","M",6,26,"Urban",13
"151",51,13850,0,"SUV","Private","4","PhD",0,"0",72453,"Doctor","0","No","7",2847,"No","no","No","F",1,52,"Urban",4
"152",37,11270,1,"Minivan","Private","0","Bachelors",235987,"2",0,"Clerical","2","Yes","3",0,"No","yes","No","M",1,50,"Urban",5
"153",26,8830,1,"Sports Car","Private","3","No High School",0,"3",14822,"Clerical","0","No","9",7486,"Yes","no","No","F",10,5,"Urban",13
"154",47,6200,1,"SUV","Private","0","Bachelors",56266,"0",0,"Home Maker","0","Yes","0",0,"No","no","Yes","F",1,32,"Urban",0
"155",48,21420,0,"Sports Car","Private","0","Bachelors",0,"0",78966,"Professional","0","No","3",0,"No","no","No","F",6,39,"Urban",13
"156",51,6650,0,"Minivan","Private","2","Masters",0,"0",51513,"Lawyer","0","No","4",33388,"No","no","Yes","M",4,42,"Urban",13
"157",33,12400,1,"Minivan","Private","2","High School",122916,"0",0,"Home Maker","0","No","6",5531,"No","no","No","F",20,47,"Rural",11
"158",58,10520,0,"Pickup","Private","1","Bachelors",295989,"0",69282,"Professional","0","Yes","0",1142,"No","no","No","M",6,47,"Urban",12
"159",30,7280,0,"Minivan","Private","2","High School",0,"0",27803,"Clerical","0","No","5",6322,"No","no","No","F",4,41,"Urban",10
"160",50,12760,0,"Minivan","Private","2","High School",0,"0",34611,"Clerical","0","No","4",3908,"No","no","No","F",1,47,"Urban",8
"161",47,18110,0,"SUV","Private","2","Bachelors",206801,"0",55019,"Professional","0","Yes","1",9085,"No","no","No","F",4,51,"Urban",12
"162",42,5600,0,"Pickup","Commercial","1","PhD",513817,"1",200928,"Manager","0","Yes","2",4020,"No","no","No","M",1,25,"Urban",11
"163",33,14010,0,"SUV","Private","0","Bachelors",0,"1",92060,"Professional","0","No","0",0,"Yes","no","No","F",5,24,"Urban",12
"164",36,5100,0,"Pickup","Private","3","High School",210300,"0",48901,"Manager","0","Yes","0",3805,"No","no","No","M",1,5,"Urban",11
"165",38,22320,0,"Van","Commercial","4","Bachelors",160245,"3",38212,"Clerical","3","No","6",4326,"Yes","yes","No","M",1,61,"Rural",9
"166",36,17520,0,"SUV","Private","0","Masters",0,"1",100095,"Lawyer","0","No","0",0,"Yes","no","No","F",1,15,"Urban",10
"167",56,22760,0,"Panel Truck","Commercial","0","Bachelors",146455,"0",42834,"Blue Collar","0","Yes","5",0,"No","yes","No","M",4,29,"Rural",8
"168",37,32260,0,"Minivan","Commercial","0","Bachelors",0,"3",130123,"Blue Collar","0","Yes","0",0,"No","no","No","F",4,59,"Urban",15
"169",57,22470,1,"SUV","Private","0","High School",198619,"0",27281,"Home Maker","0","Yes","1",0,"No","no","Yes","F",4,24,"Urban",13
"170",37,20170,0.14,"Van","Private","1","Masters",188514,"4",34622,"Professional","0","Yes","0",7875,"No","no","No","M",6,30,"Urban",11
"171",38,30770,0,"Minivan","Private","0","No High School",144063,"3",57925,"Blue Collar","1","Yes","0",0,"No","yes","No","M",6,16,"Urban",15
"172",39,26850,0,"Panel Truck","Commercial","0","High School",107211,"3",25846,"Clerical","1","Yes","3",0,"No","yes","No","M",10,68,"Urban",17
"173",43,26980,0,"Panel Truck","Commercial","0","Masters",0,"2",126496,"Manager","0","Yes","5",0,"No","yes","No","M",7,22,"Urban",13
"174",41,23880,0,"Panel Truck","Commercial","2","PhD",0,"1",182782,"Manager","1","No","5",5639,"Yes","no","Yes","M",3,36,"Urban",11
"175",28,10320,0,"Pickup","Private","0","Masters",291876,"4",94675,"Manager","0","No","3",0,"Yes","no","No","M",6,47,"Urban",12
"176",47,6200,0,"SUV","Private","2","Bachelors",67647,"0",0,"Home Maker","0","Yes","1",23972,"No","no","Yes","F",9,19,"Urban",0
"177",38,32460,1,"Panel Truck","Commercial","2","No High School",122423,"0",0,"Clerical","0","Yes","4",1414,"No","yes","No","M",1,35,"Urban",12
"178",53,6800,0,"Pickup","Commercial","3","Bachelors",161922,"0",27045,"Clerical","0","Yes","4",6523,"No","no","No","M",6,54,"Urban",11
"179",48,37310,0,"Sports Car","Commercial","3","High School",0,"0",75984,"Blue Collar","0","No","1",40386,"No","no","Yes","F",1,42,"Urban",11
"180",48,7050,0,"SUV","Commercial","2","High School",241555,"0",88745,"Blue Collar","0","Yes","5",1031,"No","no","No","F",1,55,"Urban",12
"181",44,8540,1,"Minivan","Private","3","High School",169045,"2",26377,"Clerical","0","No","3",4236,"Yes","yes","No","M",1,30,"Urban",14
"182",54,41310,0,"Panel Truck","Commercial","1","Bachelors",268990,"0",73663,"Professional","0","Yes","3",36700,"No","no","Yes","M",7,14,"Urban",6
"183",55,8410,0,"Pickup","Private","0","Bachelors",286182,"0",87426,"Blue Collar","0","Yes","0",0,"No","no","No","M",4,41,"Urban",15
"184",41,22210,0,"Pickup","Commercial","0","Masters",92197,"2",10758,"Home Maker","0","Yes","2",0,"No","no","No","F",7,41,"Urban",12
"185",57,28280,0,"Panel Truck","Commercial","1","Masters",0,"0",210811,"Manager","0","No","4",3542,"No","yes","No","M",1,7,"Urban",12
"186",48,13240,1,"SUV","Private","0","Bachelors",0,"0",75914,"Professional","0","No","0",0,"No","no","No","F",1,51,"Urban",8
"187",43,16210,0.0433333333333333,"Van","Private","0","PhD",293850,"0",90213,"Doctor","0","Yes","0",0,"No","yes","No","M",4,21,"Urban",11
"188",47,6200,0,"Minivan","Private","0","Masters",303850,"0",93658,"Lawyer","0","Yes","0",0,"No","no","No","M",5,37,"Urban",11
"189",55,17080,1,"Minivan","Private","0","High School",152288,"0",34466,"Clerical","0","No","1",0,"No","no","No","F",7,32,"Urban",10.8009523809524
"190",48,22390,1,"Van","Private","2","PhD",0,"0",173279,"Doctor","0","No","8",7357,"No","no","No","F",4,27,"Urban",10
"191",41,5600,1,"SUV","Private","3","No High School",65804,"1",0,"Home Maker","0","Yes","2",7792,"No","no","No","F",1,31,"Urban",0
"192",42,8300,0,"Sports Car","Private","1","No High School",115937,"3",28916,"Clerical","2","Yes","4",958,"No","no","No","F",4,43,"Urban",17
